"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2324","login exitoso para problem_user (Usuario con bugs de UI conocidos (imágenes rotas, etc.))","chromium","2026-07-24","passed","2026-07-24","Login data-driven - múltiples usuarios","","",""
"","1657","@demo passed esperado: login válido","chromium","2026-07-24","passed","2026-07-24","@demo Showcase de estados de reporte","","",""
"","1365","@demo failed intencional: valida un mensaje de error incorrecto a propósito","chromium","2026-07-24","failed","2026-07-24","@demo Showcase de estados de reporte","","",""
"","1636","escenario negativo: campos vacíos","chromium","2026-07-24","passed","2026-07-24","Login - SauceDemo","","",""
"","7","@demo skipped: pendiente de validar checkout con problem_user (bug de UI conocido)","chromium","2026-07-24","skipped","2026-07-24","@demo Showcase de estados de reporte","","",""
"","2360","login exitoso y agregar producto al carrito","chromium","2026-07-24","passed","2026-07-24","Compra - SauceDemo (smoke)","","",""
"","1890","escenario negativo: contraseña inválida","chromium","2026-07-24","passed","2026-07-24","Login - SauceDemo","","",""
"","2367","login exitoso para standard_user (Usuario sin restricciones, flujo feliz esperado)","chromium","2026-07-24","passed","2026-07-24","Login data-driven - múltiples usuarios","","",""
"","7670","login exitoso para performance_glitch_user (Usuario con latencia artificial alta)","chromium","2026-07-24","passed","2026-07-24","Login data-driven - múltiples usuarios","","",""
"","2179","flujo completo de compra exitosa","chromium","2026-07-24","passed","2026-07-24","Compra - SauceDemo (happy path)","","",""
"","2320","escenario negativo: usuario bloqueado (locked_out_user)","chromium","2026-07-24","passed","2026-07-24","Login - SauceDemo","","",""
